% 1.Title: Kinopoisk serials database
%
% 2.Sources:
%   (a) Creator: Vysotin Danil
%   (b) Date: October, 2024
%
@RELATION kinopoisk

@ATTRIBUTE id integer
@ATTRIBUTE title string
@ATTRIBUTE rating numeric
@ATTRIBUTE number_of_ratings integer
@ATTRIBUTE country string
@ATTRIBUTE genre {драма,комедия,боевик,фантастика,ужасы,мелодрама,триллер,приключения,документальный,аниме,криминал,история,фэнтези,спорт,мультфильм,детский,музыка,военный,детектив,биография,мюзикл,реальноеТВ,игра}
@ATTRIBUTE director string
@ATTRIBUTE age_rate {0+,6+,12+,16+,18+}
@ATTRIBUTE year integer
@ATTRIBUTE review_count integer
@ATTRIBUTE duration_minutes integer

@DATA
60,'Третье сентября',7.4,272862,'Россия',комедия,'Феликс Герчиков',18+,2024,2,24
61,'Золотое дно',8.0,269608,'Россия',драма,'Илья Ермолов',18+,2024,7,55
62,'Отмороженные',7.7,267641,'Россия',комедия,'Аня Мирохина',18+,2023,4,24
63,'Секс в большом городе',8.2,262789,'США',драма,'Майкл Патрик Кинг',18+,1998,115,22
64,'Мир Дикого Запада',7.8,260967,'США',фантастика,'Ричард Дж. Льюис',18+,2016,180,62
65,'Кошка',7.6,260757,'Россия',детектив,'Карен Оганесян',18+,2023,4,52
66,'На автомате',7.1,259850,'Россия',комедия,'Борис Акопов',18+,2024,3,30
67,'Ликвидация',8.5,255303,'Россия',детектив,'Сергей Урсуляк',18+,2007,85,45
68,'Чудотворцы',7.6,255247,'США',комедия,'Дэн Шимпф',18+,2019,30,20
69,'Тётя Марта',8.3,252085,'Россия',комедия,'Евгений Шелякин',18+,2022,6,24
70,'Надвое',7.1,250862,'Россия',мелодрама,'Валерий Тодоровский',18+,2022,19,50
71,'Чёрная весна',7.6,250426,'Россия',драма,'Сергей Тарамаев',18+,2022,16,50
72,'Сказочный патруль',8.7,250340,'Россия',мультфильм,'Наиль Мубинов',0+,2016,16,11
73,'Такси под прикрытием',8.0,250270,'Россия',детектив,'Стас Шмелев',18+,2022,4,50
74,'Декстер',8.3,248411,'США',триллер,'Джон Дал',18+,2006,332,55
75,'Рассказ служанки',7.9,247735,'США',фантастика,'Майк Баркер',18+,2017,81,60
76,'Душегубы',8.3,246870,'Россия',триллер,'Давид Ткебучава',18+,2019,9,48
77,'Чужой',8.0,240771,'Россия',драма,'Леонид Пляскин',18+,2021,5,52
78,'Почему женщины убивают',8.3,240354,'США',драма,'Дэвид Уоррен',18+,2019,35,50
79,'Инсомния',8.3,240041,'Россия',драма,'Ольга Френкель',18+,2021,14,55
80,'Молодёжка',7.9,239400,'Россия',драма,'Сергей Арланов',18+,2013,50,48
81,'Крутая перемена',7.6,236353,'Россия',комедия,'Карен Оганесян',18+,2023,3,?
82,'Чики',7.7,235385,'Россия',драма,'Эдуард Оганесян',18+,2020,83,50
83,'Буба',8.0,233803,'Великобритания',мультфильм,'Сергей Горобец',0+,2014,5,4
84,'Табу',7.8,231705,'Великобритания',триллер,'Андерс Энгстрем',18+,2017,69,60
85,'Ми-ми-мишки',8.0,230835,'Россия',мультфильм,'Алексей Миронов',0+,2015,3,5
86,'Зверобой',7.7,230606,'Россия',детектив,'Анар Аббасов',18+,2022,7,48
87,'Ваша честь',8.2,230395,'Россия',триллер,'Константин Статский',18+,2021,7,60
88,'Смешарики. Новый сезон',9.0,229847,'Россия',мультфильм,'Денис Чернов',0+,2020,47,6
89,'Грозовые ворота',8.2,223450,'Россия',драма,'Андрей Малюков',18+,2006,28,52
90,'Йеллоустоун',8.7,222048,'США',драма,'Стефен Т. Кэй',18+,2018,35,60
91,'Большая маленькая ложь',8.1,215705,'США',детектив,'Жан-Марк Валле',18+,2017,118,60
92,'Казанова',8.2,213760,'Россия',детектив,'Кирилл Белевич',18+,2020,12,45
93,'Шпион',7.9,213492,'Россия',детектив,'Вано Бурдули',18+,2022,4,49
94,'Отель Элеон',7.4,211874,'Россия',комедия,'Антон Федотов',18+,2016,29,24
95,'Заключение',7.5,211342,'Россия',детектив,'Сергей Попов',18+,2022,2,52
96,'История девятихвостого лиса',8.4,209407,'Корея Южная',мелодрама,'Кан Щин-хё',18+,2020,12,70
97,'С нуля',7.3,209332,'Россия',драма,'Василий Бархатов',18+,2022,2,58
98,'The Телки',7.4,207775,'Россия',драма,'Мария Агранович',18+,2022,12,45
99,'Чёрная любовь',8.2,207317,'Турция',мелодрама,'Хилал Сарал',18+,2015,15,140
100,'Высшая мера',8.0,206510,'Россия',история,'Вячеслав Рогожкин',18+,2022,2,48
101,'Порт',7.4,202982,'Россия',детектив,'Нурбек Эген',18+,2019,4,47
102,'Неличная жизнь',7.6,199557,'Россия',комедия,'Максим Пешков',18+,2022,1,25
103,'Папины дочки',5.9,199089,'Россия',комедия,'Ирина Васильева',18+,2007,191,23
104,'Мейр из Исттауна',8.2,199087,'США',драма,'Крэйг Зобел',18+,2021,53,60
105,'Водоворот',7.3,198119,'Россия',триллер,'Андрей Загидуллин',18+,2020,75,45
106,'Твин Пикс',8.4,196678,'США',триллер,'Дэвид Линч',18+,1990,179,47
107,'Русалки',7.0,194261,'Россия',детектив,'Александр Кириенко',18+,2018,6,55
108,'Зимородок',7.9,191860,'Турция',драма,'Бурджу Алптекин',18+,2022,9,120
109,'По законам военного времени',8.1,191254,'Россия',военный,'Максим Мехеда',18+,2015,13,52
110,'Флэш',7.5,191158,'США',фантастика,'Стефан Плещински',18+,2014,66,43
111,'Жиза',7.6,191060,'Россия',драма,'Арсений Робак',18+,2022,11,40
