% 1.Title: Kinopoisk serials database
%
% 2.Sources:
%   (a) Creator: Vysotin Danil
%   (b) Date: October, 2024
%
@RELATION kinopoisk

@ATTRIBUTE id integer
@ATTRIBUTE title string
@ATTRIBUTE rating numeric
@ATTRIBUTE number_of_ratings integer
@ATTRIBUTE country string
@ATTRIBUTE genre {драма,комедия,боевик,фантастика,ужасы,мелодрама,триллер,приключения,документальный,аниме,криминал,история,фэнтези,спорт,мультфильм,детский,музыка,военный,детектив,биография,мюзикл,реальноеТВ,игра}
@ATTRIBUTE director string
@ATTRIBUTE age_rate {0+,6+,12+,16+,18+}
@ATTRIBUTE year integer
@ATTRIBUTE review_count integer
@ATTRIBUTE duration_minutes integer

@DATA
262,'Спросите медсестру',8.0,93146,'Россия',драма,'Дмитрий Петрунь',18+,2020,?,52
263,'Дино',8.0,91705,'Россия',комедия,'Тимофей Шарипов',18+,2024,1,25
264,'Вокруг света за 80 дней',7.9,91460,'Франция',комедия,'Стив Бэррон',18+,2021,14,60
265,'Фея тяжёлой атлетики',8.3,91433,'Корея Южная',мелодрама,'О Хён-джон',18+,2016,10,70
266,'Наследники',8.1,91426,'Корея Южная',мелодрама,'Кан Щин-хё',18+,2013,39,65
267,'Костя — Вера',7.6,91043,'Россия',комедия,'Артур Румынский',18+,2024,4,?
268,'Абрек',8.2,90921,'Россия',драма,'Иван Шурховецкий',18+,2022,1,?
269,'Магомаев',8.2,90350,'Россия',биография,'Дмитрий Тюрин',18+,2020,22,48
270,'Пилигрим',7.6,90147,'Россия',детектив,'Александр Колесник',18+,2023,2,?
271,'Тест на беременность 2',8.1,90014,'Россия',мелодрама,'Антон Сиверс',18+,2019,4,48
272,'Султан моего сердца',8.0,89866,'Россия',история,'Керем Чакироглу',18+,2018,14,49
273,'Острые предметы',7.5,89731,'США',триллер,'Жан-Марк Валле',18+,2018,49,61
274,'Турецкий гамбит',8.0,89454,'Россия',боевик,'Джаник Файзиев',12+,2006,7,51
275,'В созвездии Стрельца',8.2,88803,'Россия',биография,'Роман Гапанюк',12+,2015,?,52
276,'Императрица Ки',8.6,88553,'Корея Южная',история,'Хан Хи',18+,2013,41,60
277,'Волк',7.7,88374,'Россия',детектив,'Геннадий Островский',18+,2020,5,52
278,'Наследники',8.1,88291,'США',драма,'Марк Майлод',18+,2018,32,60
279,'Начало',8.1,88102,'Китай',фантастика,'Сунь Молун',18+,2022,14,45
280,'Услышь меня',7.8,88057,'Турция',драма,'Али Балджи',18+,2022,1,127
281,'Лихач',8.2,87607,'Россия',детектив,'Андрей Коршунов',18+,2019,3,?
282,'Мастер',8.4,87545,'Россия',драма,'Степан Коршунов',18+,2021,7,55
283,'Роковой патруль',7.4,87391,'США',фантастика,'Крис Мэнли',18+,2019,19,60
284,'Горький 53',7.7,86880,'Россия',детектив,'Сергей Коротаев',18+,2024,11,50
285,'Парад смерти',8.0,86286,'Япония',аниме,'Юдзуру Татикава',18+,2015,22,23
286,'Сага о Винланде',8.5,86185,'Япония',аниме,'Сюхэй Ябута',18+,2019,25,?
287,'Красный 5',7.7,85960,'Россия',комедия,'Евгений Шелякин',18+,2023,2,47
288,'Бандитский Петербург: Барон',7.7,85907,'Россия',драма,'Владимир Бортко',18+,2000,10,53
289,'Азизе',7.9,85821,'Турция',драма,'Волкан Коджатюрк',12+,2019,3,120
290,'Крапленый',8.0,85625,'Россия',криминал,'Ярослав Мочалов',18+,2012,1,48
291,'Благословение небожителей',8.6,85399,'Китай',мультфильм,'Ли Хаолин',18+,2020,13,35
292,'Спящие',7.8,84977,'Россия',триллер,'Юрий Быков',18+,2017,36,55
293,'Богомол',7.7,84120,'Франция',триллер,'Александр Лорен',18+,2017,5,?
294,'Антология русского хоррора: Красный состав',7.3,83616,'Канада',мультфильм,'Алексей Климов',18+,2022,25,20
295,'Чужак',7.2,83502,'США',триллер,'Эндрю Бернштейн',18+,2020,21,60
296,'Жизнь и приключения Мишки Япончика',8.2,83148,'Россия',криминал,'Сергей Гинзбург',18+,2011,43,50
297,'Пропавшая',6.3,82912,'Россия',триллер,'Вадим Перельман',18+,2021,15,27
298,'Серебряный волк',7.7,82467,'Россия',детектив,'Евгений Звездаков',18+,2021,1,50
299,'Легенды о Круге',8.1,80777,'Россия',драма,'Тимур Кабулов',12+,2011,14,50
300,'Мальчики краше цветов',8.2,80552,'Корея Южная',драма,'Чон Ги-сан',18+,2009,89,64
301,'Ангел мести',7.5,79708,'Россия',детектив,'Дарья Полторацкая',18+,2022,1,60
302,'Карпов',8.3,79687,'Россия',драма,'Игорь Ромащенко',18+,2012,30,45
303,'Идентификация',7.2,79471,'Россия',драма,'Владлена Санду',18+,2022,7,52
304,'СМЕРШ. Продолжение',7.9,79272,'Россия',военный,'Олег Фомин',18+,2022,1,48
305,'Алекс Лютый',8.1,79241,'Россия',детектив,'Леонид Белозорович',18+,2019,8,47
306,'Сделано в Италии',8.2,79210,'Италия',комедия,'Аго Панини',18+,2019,10,50
307,'Великая война',8.9,78669,'Россия',документальный,'Анна Граждан',12+,2010,21,50
308,'Налет',7.7,78273,'Россия',детектив,'Карен Оганесян',18+,2017,8,50
309,'Призраки',8.1,77921,'Великобритания',фэнтези,'Трент О’Доннелл',18+,2021,3,21
310,'Импровизаторы',8.6,77854,'Россия',комедия,'Анатолий Переверзев',18+,2023,3,48
311,'Братья по оружию',8.6,77791,'Великобритания',военный,'Дэвид Фрэнкел',18+,2001,59,60
312,'Угрюм-река',7.7,77760,'Россия',драма,'Юрий Мороз',18+,2020,15,50
313,'Воспитанные волками',7.1,77037,'США',фантастика,'Алекс Габасси',18+,2020,40,50
314,'Я не могу без тебя',7.7,76959,'Россия',драма,'Юрий Мороз',18+,2022,?,50
315,'Королева Чорин',8.7,76923,'Корея Южная',комедия,'Юн Сон-щик',18+,2020,12,70
316,'СССР',7.7,76815,'Россия',мелодрама,'Алексей Рудаков',18+,2020,2,?
317,'Короче, план такой',7.5,76701,'Россия',комедия,'Марк Горобец',18+,2023,11,?
318,'Нюхач',7.5,76436,'Украина',боевик,'Артем Литвиненко',18+,2013,24,45
319,'Ленинград 46',8.2,76176,'Россия',криминал,'Игорь Копылов',18+,2014,19,46
320,'Легенда синего моря',8.3,76095,'Корея Южная',мелодрама,'Чин Хёк',18+,2016,20,70
321,'Букины',6.6,75540,'Россия',комедия,'Гарик Петросян',18+,2023,10,24
322,'Отель «Дель Луна»',8.2,75330,'Корея Южная',мелодрама,'О Чхун-хван',12+,2019,7,80
323,'Мастер Темного Пути',8.6,74838,'Китай',мультфильм,'Сюн Кэ',18+,2018,12,30
324,'Банши',8.1,74430,'США',боевик,'Оле Кристиан Мадсен',18+,2013,57,43
325,'Убивая Еву',7.7,74143,'США',боевик,'Дэймон Томас',18+,2018,43,42
326,'О моём перерождении в слизь',8.2,74034,'Япония',аниме,'Ясухито Кикути',18+,2018,8,23
327,'Икра',7.7,74029,'Россия',детектив,'Виталий Воробьев',18+,2017,3,51
328,'Смешарики. Новые приключения',7.8,73819,'Россия',мультфильм,'Константин Бирюков',0+,2012,6,11
329,'#СеняФедя',6.9,73579,'Россия',комедия,'Юрий Владовский',18+,2018,4,24
330,'Атака титанов OVA',7.9,72899,'Япония',аниме,'Тэцуро Араки',18+,2013,2,23
331,'Я не робот',8.2,72770,'Корея Южная',мелодрама,'Чон Дэ-юн',18+,2017,6,60
332,'Обреченные на славу',7.7,72657,'США',боевик,'Роланд Эммерих',18+,2024,9,60
333,'Собор',8.2,72521,'Россия',драма,'Сергей Гинзбург',18+,2021,13,49
334,'Грузовичок Лева',8.4,72492,'Россия',детский,'Мария Поддубная',0+,2014,?,4
335,'Гостиница «Россия»',8.0,72308,'Россия',драма,'Сергей Сенцов',18+,2016,2,?
336,'Корни',7.6,71965,'Россия',комедия,'Марк Горобец',18+,2020,8,24
337,'Филин',7.5,71861,'Россия',детектив,'Дмитрий Аверин',18+,2021,2,?
338,'Наша Russia',6.1,71648,'Россия',комедия,'Пётр Буслов',18+,2006,42,21
339,'Кадетство',6.2,71046,'Россия',драма,'Сергей Арланов',0+,2006,39,44
340,'Знахарь',8.3,70772,'Россия',драма,'Ярослав Мочалов',18+,2017,3,51
341,'Цветок зла',8.3,70534,'Корея Южная',триллер,'Ким Чхоль-гю',18+,2020,9,70
342,'Беги!',7.5,70410,'Россия',боевик,'Андрей Волгин',18+,2016,4,52
343,'Больница Никербокер',8.3,70404,'США',драма,'Стивен Содерберг',18+,2014,48,58
344,'Детектив Финник',8.9,69948,'Россия',мультфильм,'Илья Максимов',6+,2022,2,7
345,'Супермен и Лоис',7.7,69828,'США',фантастика,'Грегори Смит',18+,2021,8,42
346,'Хроники Шаннары',7.1,69710,'США',фэнтези,'Брэд Тернер',18+,2016,29,42
347,'Синяя тюрьма: Блю Лок',8.5,69704,'Япония',аниме,'Тэцуаки Ватанабэ',18+,2022,3,24
348,'Хваюги',8.2,69520,'Корея Южная',фэнтези,'Пак Хон-гюн',18+,2017,7,70
349,'Между нами, девочками',8.2,69450,'Россия',комедия,'Алексей Кирющенко',12+,2013,5,44
350,'За первого встречного',7.3,69136,'Россия',мелодрама,'Владимир Балкашинов',18+,2019,?,52
351,'Регби',8.2,68551,'Россия',спорт,'Аня Мирохина',18+,2021,4,45
352,'Параллельные миры',8.1,68535,'Корея Южная',мелодрама,'Чон Дэ-юн',18+,2016,13,60
353,'Просто представь, что мы знаем',6.8,68354,'Россия',драма,'Роман Волобуев',18+,2020,17,40
354,'Полёт',7.5,68301,'Россия',драма,'Петр Тодоровский',18+,2019,15,48
355,'Хозяин',7.3,68290,'Россия',драма,'Мирослав Малич',18+,2020,?,48
356,'Семья',8.4,68215,'Турция',мелодрама,'Ахмет Катыксыз',18+,2023,?,137
357,'Спрячь меня',8.0,67903,'Турция',драма,'Надим Гюч',18+,2023,?,?
358,'Повар императора',8.3,67691,'Япония',биография,'Юитиро Хиракава',18+,2015,6,54
359,'Черный двор',7.7,67591,'Казахстан',боевик,'Диас Бертис',18+,2023,6,45
360,'Шершни',7.4,66691,'США',ужасы,'Эва Сёрхёуг',18+,2021,24,60
361,'Мамочки',7.9,66520,'Россия',комедия,'Александр Богданенко',18+,2015,14,24
362,'100 тысяч минут вместе',8.0,66162,'Украина',комедия,'Руслан Ханумак',18+,2020,?,24
363,'Граница: Таежный роман',7.8,66115,'Россия',драма,'Александр Митта',18+,2000,22,52
364,'Операция «Мухаббат»',7.9,65704,'Россия',драма,'Олег Фомин',18+,2018,4,44
365,'Страйк',7.9,65701,'Великобритания',детектив,'Сьюзэн Талли',18+,2017,18,60
366,'Троцкий',7.7,65322,'Россия',биография,'Александр Котт',18+,2017,35,50
367,'Ранетки',2.9,64313,'Россия',драма,'Сергей Арланов',12+,2008,207,48
368,'Плохой и сумасшедший',8.2,63962,'Корея Южная',боевик,'Ю Сон-дон',18+,2021,5,60
369,'Академия сверхъестественного',8.4,63794,'США',мультфильм,'Стив Болл',12+,2022,1,23
370,'Подпольная империя',8.1,63519,'США',драма,'Тимоти Ван Паттен',18+,2010,69,55
371,'Мамы чемпионов',8.0,63486,'Россия',драма,'Сергей Арланов',18+,2018,3,48
372,'Жена путешественника во времени',8.1,63439,'США',фантастика,'Дэвид Наттер',18+,2022,6,45
373,'Мурка',7.5,63134,'Россия',драма,'Антон Розенберг',18+,2016,12,50
374,'Основание: Осман',8.3,63095,'Турция',драма,'Ахмет Йильмаз',18+,2019,4,120
375,'Жестокий Стамбул',8.1,61952,'Турция',драма,'Джевдет Мерджан',18+,2019,4,120
376,'Контуженный',7.4,61828,'Россия',детектив,'Михаил Вассербаум',18+,2023,?,42
377,'Звездные врата: Атлантида',8.2,61804,'Канада',фантастика,'Мартин Вуд',18+,2004,26,43
378,'Невеста речного Бога',7.5,61754,'Корея Южная',мелодрама,'Ким Бён-су',18+,2017,7,65
379,'Предшественница',7.3,61711,'США',триллер,'Лиза Брюльманн',18+,2021,4,60
380,'Что знает Оливия',8.0,61659,'США',драма,'Лиза Холоденко',18+,2014,30,?
381,'Прощай, любимая...',7.9,61624,'Россия',детектив,'Алёна Званцова',18+,2014,13,50
382,'Купчино',7.9,60882,'Россия',детектив,'Армен Назикян',18+,2018,4,49
383,'Хвост Феи',7.9,60782,'Япония',аниме,'Синдзи Исихира',18+,2009,39,25
384,'Вы все меня бесите',7.3,60695,'Россия',комедия,'Олег Фомин',18+,2017,17,24
385,'Есенин',8.0,60591,'Россия',триллер,'Игорь Зайцев',18+,2005,62,53
386,'Аврора',7.1,60437,'Россия',драма,'Роман Волобуев',18+,2022,3,45
387,'Вкус мести',7.0,60345,'Украина',детектив,'Дмитрий Лактионов',18+,2021,?,50
388,'Доброта',8.1,60336,'Турция',драма,'Murat Öztürk',18+,2022,?,120
389,'Манипуляции',7.4,60082,'Франция',триллер,'Марвен Абдулла',18+,2022,1,?
390,'Струны',8.1,59868,'Россия',драма,'Александр Кессель',18+,2021,16,35
391,'Хилер',8.5,59776,'Корея Южная',триллер,'Ким Джин-у',18+,2014,34,59
392,'Ланцет',7.8,59727,'Россия',мелодрама,'Елена Николаева',18+,2019,6,50
393,'Ваша честь',7.7,59463,'США',триллер,'Питер Соллетт',18+,2020,24,57
394,'Абсолютное зло',8.2,59283,'Швеция',драма,'Эрик Лейжонборг',18+,2023,6,?
395,'В поисках Аляски',7.8,59182,'США',драма,'Клеа ДюВалл',18+,2019,11,54
396,'Незнакомцы из ада',7.6,59156,'Корея Южная',триллер,'Ли Чхан-хи',18+,2019,14,60
397,'Анна-детективъ',8.2,58264,'Россия',детектив,'Феликс Герчиков',12+,2016,30,48
398,'Метод Фрейда',7.4,57979,'Россия',детектив,'Михаил Вайнберг',18+,2012,30,50
399,'Война и мир',8.1,57884,'СССР',драма,'Сергей Бондарчук',18+,1965,50,103
400,'В ожидании солнца',8.4,57347,'Турция',драма,'Алтан Дёнмез',18+,2013,19,120
401,'Мой сосед — кумихо',8.0,57323,'Корея Южная',мелодрама,'Нам Сон-у',18+,2021,5,60
402,'Отряд Хваран',8.4,57260,'Корея Южная',комедия,'Юн Сон-щик',18+,2016,8,70
403,'Воскресший Эртугрул',8.5,57129,'Турция',драма,'Метин Гюнай',18+,2014,7,120
404,'Кот Басик',9.0,57048,'Россия',мультфильм,'Андрей Колпин',0+,2022,?,?
405,'Домашнее поле',7.2,56941,'Россия',драма,'Феликс Умаров',18+,2022,4,40
406,'Расплата',7.4,56530,'Россия',драма,'Артем Мазунов',18+,2023,?,?
407,'Большая игра',7.8,56247,'Россия',комедия,'Байбулат Батуллин',18+,2018,2,24
408,'Ворон',8.3,55873,'Турция',драма,'Бахадыр Индже',18+,2019,7,120
409,'Пенниуорт',7.7,55865,'США',драма,'Роб Бэйли',18+,2019,11,60
410,'Моя левая половинка',7.6,55810,'Турция',драма,'Барыш Йош',18+,2020,1,?
411,'Шулер',7.9,55553,'Украина',драма,'Эдуард Парри',18+,2013,10,52
412,'Инквизитор',7.6,55279,'Россия',детектив,'Юрий Мороз',18+,2014,4,47
413,'Трон, отмеченный Богом',9.0,55258,'Китай',мультфильм,'Цзэн Юаньцзюнь',18+,2022,7,20
414,'Постановка',8.2,55186,'Великобритания',драма,'Саймон Эванс',18+,2020,9,22
415,'Охотники за бриллиантами',7.9,54978,'Россия',детектив,'Александр Котт',18+,2011,7,53
416,'Светлый пепел луны',8.6,54698,'Китай',мелодрама,'Кук Кок-Люн',18+,2023,6,45
417,'Гадалка',7.8,54426,'Россия',детектив,'Илья Казанков',18+,2018,1,50
418,'Бандитский Петербург 3: Крах Антибиотика',7.1,54289,'Россия',криминал,'Виктор Сергеев',18+,2001,6,?
419,'Бедный олигарх',7.1,54262,'Россия',комедия,'Гайк Асатрян',18+,2022,7,20
420,'Маша и Медведь: Оставайтесь дома',7.9,53839,'Кипр',мультфильм,'Артем Наумов',0+,2020,?,2
421,'Улётный экипаж',7.6,53606,'Россия',комедия,'Марюс Вайсберг',18+,2017,2,24
422,'Влюбленные женщины',7.2,53537,'Россия',мелодрама,'Дмитрий Лактионов',18+,2015,11,?
423,'Однажды в Ростове',8.0,53344,'Россия',драма,'Константин Худяков',18+,2012,14,43
424,'Задача трёх тел',7.7,53245,'Китай',фантастика,'Леон Ян',18+,2023,15,45
425,'Приключения Ам Няма',8.1,53018,'Россия',мультфильм,'Артур Меркулов',0+,2011,?,2
426,'Лестница',7.1,52922,'США',триллер,'Антонио Кампос',18+,2022,10,65
427,'Анатомия сердца',8.1,52903,'Россия',мелодрама,'Максим Кубринский',18+,2020,1,55
428,'Сама дура',7.3,52847,'Россия',драма,'Анна Зайцева',18+,2020,3,15
429,'Актёр',7.5,52803,'Россия',драма,'Вано Бурдули',18+,2022,1,50
430,'Модный синдикат',7.5,52724,'Россия',комедия,'Александр Карпиловский',18+,2022,1,24
431,'Стажер',7.3,52657,'Украина',детектив,'Валерий Ибрагимов',18+,2020,?,?
432,'Проклятие спящих',7.5,52611,'Россия',триллер,'Илья Куликов',18+,2017,4,48
433,'Рюриковичи. История первой династии',8.7,52508,'Россия',история,'Максим Беспалый',12+,2019,6,52
434,'Ищите женщину',8.2,52416,'СССР',детектив,'Алла Сурикова',0+,1982,23,?
435,'Молчание',7.2,52259,'Россия',детектив,'Дмитрий Петрунь',18+,2022,1,50
436,'Любовь напрокат',8.3,52149,'Турция',мелодрама,'Шенол Сонмез',18+,2015,10,120
437,'Качели',7.4,52102,'Беларусь',криминал,'Владимир Зинкевич',18+,2016,2,48
438,'Луана',8.8,52034,'Россия',мультфильм,'Лариса Агишева',12+,2019,?,8
439,'Жила-была царевна',8.0,51939,'Россия',мультфильм,'Наталья Титаренко',0+,2015,?,5
440,'Маша и Медведь. Песенки для малышей',8.5,51921,'Россия',мультфильм,'Дина Мальцева',0+,2019,?,3
441,'Прослушка',8.5,51904,'США',триллер,'Джо Чаппелль',18+,2002,54,60
442,'Трасса смерти',7.4,51838,'Россия',триллер,'Денис Нейманд',18+,2017,?,48
443,'Ростов',7.8,51649,'Россия',история,'Павел Дроздов',18+,2019,4,?
444,'Слабейший монстр',8.3,51542,'Китай',мультфильм,'Лю Сывэнь',18+,2023,2,20
445,'Сцены из супружеской жизни',8.0,51489,'США',драма,'Хагай Леви',18+,2021,21,54
446,'Тени исчезают в полдень',8.3,51431,'СССР',драма,'Владимир Краснопольский',18+,1971,7,66
447,'Одну тебя люблю',8.1,51232,'Россия',мелодрама,'Алексей Козлов',12+,2009,1,47
448,'Маша и Медведь. Футбольный выпуск',7.9,51182,'Россия',мультфильм,'Олег Кузовков',0+,2018,?,?
449,'Подкидыш',8.0,51174,'Россия',детектив,'Антон Борматов',18+,2019,3,?
450,'Русские горки',8.0,50871,'Россия',драма,'Алеко Цабадзе',18+,2019,3,?
451,'Куплю актрису',7.4,50543,'Россия',мелодрама,'Илья Силаев',18+,2023,?,48
452,'Позолоченный век',8.1,50234,'США',драма,'Майкл Энглер',18+,2022,12,60
453,'90-е. Весело и громко',7.6,50124,'Россия',комедия,'Игорь Волошин',18+,2018,5,24
454,'Колобанга. Только для пользователей интернета',8.8,50078,'Россия',мультфильм,'Александр Романец',6+,2015,1,13
455,'Гора самоцветов',8.5,49937,'Россия',мультфильм,'Александр Татарский',0+,2005,2,13
456,'Семейка',7.5,49563,'Россия',комедия,'Сергей Знаменский',18+,2021,?,24
457,'Щит и меч',8.4,49530,'СССР',драма,'Владимир Басов',12+,1968,13,?
458,'Первый класс',7.2,49392,'Россия',драма,'Светлана Самошина',18+,2024,11,?
459,'Миссия: Аметист',7.8,49309,'Россия',детектив,'Антон Борматов',18+,2021,1,?
460,'Каменская',7.6,49178,'Россия',драма,'Юрий Мороз',18+,1999,4,51
461,'Сказочный патруль. Хроники чудес',8.6,49033,'Россия',мультфильм,'Полина Морозова',0+,2019,2,7
462,'Гюльджемаль',8.2,48896,'Турция',драма,'Мерве Чолак',18+,2023,?,124
463,'Боевой континент',9.0,48814,'Китай',мультфильм,'Шэнь Лэпин',18+,2018,8,20
464,'Земля',8.3,48517,'Россия',история,'Роман Зимин',12+,2021,?,51
465,'Маша и Медведь: Анимашки',8.4,48450,'Россия',мультфильм,'Екатерина Грошева',0+,2022,?,2
466,'Ходячие мертвецы: Выжившие',7.5,48092,'США',ужасы,'Берти Эллвуд',18+,2024,9,60
467,'Барабашка',6.7,47968,'Россия',комедия,'Александр Собичевский',18+,2022,1,25
468,'Ученица Мессинга',8.1,47945,'Россия',драма,'Владимир Нахабцев мл.',12+,2017,5,52
469,'Убийца у озера',7.4,47848,'Франция',триллер,'Жером Корнюо',18+,2017,?,?
470,'Стэн против сил зла',7.4,47794,'США',ужасы,'Джек Бишоп',18+,2016,8,30
471,'Пуля',7.9,47753,'Россия',детектив,'Алексей Быстрицкий',18+,2018,?,48
472,'Истребители',7.6,47714,'Россия',драма,'Алексей Мурадов',12+,2013,10,43
473,'Время «Спартака»',8.6,47700,'Россия',документальный,'Евгения Монтанья Ибаньес',18+,2023,4,45
474,'Сердца трех',8.1,47567,'Россия',мелодрама,'Владимир Попков',18+,1992,15,?
475,'ХБ',6.5,47542,'Россия',комедия,'Егор Баранов',18+,2013,16,23
476,'Сны',6.7,47459,'Россия',детектив,'Давид Дадунашвили',18+,2022,8,30
477,'Падающая звезда',8.0,47420,'Корея Южная',мелодрама,'Ли Су-хён',18+,2022,2,60
478,'Макс и Гусь',7.1,47159,'Россия',комедия,'Денис Павлов',18+,2023,1,30
479,'Цыпленок жареный',7.7,46973,'Россия',детектив,'Елена Николаева',18+,2019,3,?
480,'Расскажи мне свои секреты',7.5,46625,'США',триллер,'Джон Полсон',18+,2021,3,45
481,'Оранжевая корова',8.5,46508,'Россия',мультфильм,'Елена Чернова',0+,2018,1,6
482,'Закрытый уровень',7.0,46505,'Россия',драма,'Антон Розенберг',18+,2023,4,?
483,'Уловки разума',7.0,46478,'Россия',детектив,'Дмитрий Сорокин',12+,2024,?,44
484,'Король и Шут: Экстра',8.0,46453,'Россия',документальный,'Семен Веснин',18+,2023,?,15
485,'Ходячие мертвецы: Дэрил Диксон',7.7,46333,'США',ужасы,'Дэниэл Персивал',18+,2023,10,60
486,'Статский советник',8.0,46281,'Россия',детектив,'Филипп Янковский',18+,2005,1,52
487,'Дело чести',8.3,46083,'Турция',драма,'Алтан Дёнмез',12+,2014,10,?
488,'Конец невинности',7.4,46020,'Россия',детектив,'Стас Иванов',18+,2019,?,?
489,'Милдред Пирс',7.7,45968,'США',драма,'Тодд Хейнс',18+,2011,24,?
490,'Рваный ветер',7.3,45744,'Россия',драма,'Александр Франскевич-Лайе',18+,2019,?,50
491,'Воин',8.2,45375,'США',боевик,'Лони Перистер',18+,2019,13,60
492,'Приходите в ресторан ведьмы',7.9,45365,'Корея Южная',фэнтези,'Со Джэ-хён',18+,2021,3,60
493,'Волчица и пряности',8.1,45093,'Япония',аниме,'Фумиаки Усуи',18+,2008,25,24
494,'Последняя статья журналиста',8.0,44959,'Россия',драма,'Евгений Сологалов',18+,2016,2,52
495,'Заговорённый',7.2,44859,'Россия',военный,'Сергей Малюгов',18+,2024,1,?
496,'Дьявольский судья',8.4,44706,'Корея Южная',криминал,'Чхве Джон-гю',18+,2021,11,70
497,'До свидания, мальчики',8.1,44658,'Россия',военный,'Сергей Крутин',12+,2014,3,49
498,'Катя и Эф. Куда-Угодно-Дверь',8.9,44636,'Россия',детский,'Роман Трамвай',0+,2018,1,5
499,'Просто о важном. Про Миру и Гошу',9.0,44513,'Россия',мультфильм,'Ольга Лопато',0+,2019,?,6
500,'Невероятные',7.3,44446,'Великобритания',фантастика,'Эндрю Бернштейн',18+,2021,7,58
501,'Смешарики: Азбука безопасности',8.1,44351,'Россия',мультфильм,'Алексей Горбунов',0+,2006,1,?
502,'Портрет убийцы',7.5,44169,'Канада',криминал,'Алексис Дюран Бролт',18+,2021,1,42
503,'Истребители: Последний бой',7.8,44047,'Россия',военный,'Зиновий Ройзман',18+,2015,5,?
504,'Барсукот. Очень зверский детектив',8.4,43906,'Молдова',мультфильм,'Александра Евсеева',6+,2024,4,12
505,'Один шанс на троих',7.3,43899,'Россия',драма,'Руслан Паушу',18+,2022,?,?
506,'Знахарь 2',7.9,43835,'Россия',драма,'Ярослав Мочалов',18+,2021,2,52
507,'Карнивал Роу',7.2,43831,'США',фэнтези,'Тор Фройденталь',18+,2019,41,56
508,'Уголь',7.6,43557,'Россия',драма,'Владимир Котт',18+,2017,?,52
509,'Крылья империи',7.9,43494,'Россия',история,'Игорь Копылов',18+,2017,24,53
510,'Калейдоскоп ужасов',7.1,43467,'США',ужасы,'Грег Никотеро',18+,2019,12,45
511,'Готовим с Бубой',8.4,43442,'Великобритания',мультфильм,'Николай Гребенников',0+,2020,?,3
512,'Неверный',7.2,43359,'Франция',триллер,'Дидье Ле Пешор',18+,2019,2,?
513,'Доктор Ё-хан',8.2,43325,'Корея Южная',драма,'Чо Су-вон',18+,2019,5,70
514,'Подозрительный партнёр',7.8,43221,'Корея Южная',криминал,'Пак Сон-хо',18+,2017,6,60
515,'Молодой Морс',8.3,43201,'Великобритания',драма,'Шон Эванс',18+,2012,15,90
516,'Седьмая руна',7.1,43171,'Россия',триллер,'Сергей Попов',18+,2014,4,50
517,'Настоящая кровь',7.7,42973,'США',фэнтези,'Майкл Леманн',18+,2008,192,53
518,'Политех',7.4,42634,'Россия',комедия,'Алексей Зотов',18+,2023,?,24
519,'Соник Бум',8.4,42619,'США',мультфильм,'Наталис Раут Сьозак',6+,2014,7,11
520,'Убей меня, исцели меня',8.3,42608,'Корея Южная',драма,'Ким Дэ-джин',18+,2015,20,60
521,'Григорий Р.',7.8,42606,'Россия',драма,'Андрей Малюков',18+,2014,21,?
522,'Исправление и наказание',7.7,42538,'Россия',комедия,'Анна Пармас',18+,2021,3,30
523,'Кино про бандитов',6.8,42492,'Россия',комедия,'Сергей Малюгов',18+,2023,1,?
524,'Ум и Хрум',8.8,42468,'Россия',мультфильм,'Олег Шепляков',0+,2022,1,?
525,'Противостояние',8.5,42297,'СССР',детектив,'Семён Аранович',18+,1985,16,?
526,'Кукутики',7.5,42254,'Россия',мультфильм,'Рустам Салахов',0+,2015,?,?
527,'В пустыне смерти',7.6,42249,'США',боевик,'Пако Кабесас',18+,2015,14,42
528,'О, моя Венера',8.1,42242,'Корея Южная',мелодрама,'Ким Хён-сок',18+,2015,10,70
529,'Герои Гуджитсу',8.7,42114,'Австралия',мультфильм,'Люк Мэтерс',6+,2019,?,?
530,'У каждого своя война',7.9,41939,'Россия',драма,'Зиновий Ройзман',18+,2010,4,52
531,'Стамбульская невеста',8.4,41779,'Турция',драма,'Зейнеп Гюнай',18+,2017,2,120
532,'Медсестра',7.8,41754,'Россия',драма,'Михаил Журавкин',12+,2016,2,?
533,'Кибер Иван',7.5,41529,'Россия',комедия,'Владислав Иконников',18+,2023,1,24
534,'Небеса подождут',7.9,41509,'Россия',драма,'Михаил Вассербаум',18+,2016,2,52
535,'Атака Титанов: Финал. Расширенная версия',9.1,41254,'Япония',аниме,'Дзюн Сисидо',18+,2023,2,23
536,'Азазель',7.2,41179,'Россия',криминал,'Александр Адабашьян',18+,2002,30,47
537,'Атака титанов: Потерянные девушки',8.2,40940,'Япония',аниме,'Масаси Коидзука',18+,2017,2,25
538,'С чего начинается Родина',7.7,40712,'Россия',детектив,'Рауф Кубаев',18+,2014,3,49
539,'Зло',7.6,40707,'США',ужасы,'Джон Дал',18+,2019,8,42
540,'Тульский Токарев',7.8,40700,'Россия',криминал,'Алексей Мурадов',18+,2010,6,46
541,'Ухожу красиво',7.4,40674,'Россия',комедия,'Миша Поляков',18+,2023,7,24
542,'Однолюбы',7.7,40540,'Россия',мелодрама,'Алеко Цабадзе',18+,2012,4,52
